part_id,part_sex,part_age_est_min,part_age_est_max,part_age,cnt_age_est_min,cnt_age_est_max,cnt_home,cnt_other,country,year
19,Female,0,1,,20,59,Yes,No,Kenya,2011
117,Female,0,1,,20,59,No,Yes,Kenya,2011
124,Female,0,1,,20,59,Yes,No,Kenya,2011
132,Female,0,1,,20,59,No,Yes,Kenya,2011
155,Female,0,1,,20,59,Yes,No,Kenya,2011
188,Female,0,1,,20,59,No,Yes,Kenya,2011
254,Male,0,1,,20,59,Yes,No,Kenya,2011
265,Female,0,1,,20,59,Yes,No,Kenya,2011
274,Male,0,1,,20,59,Yes,No,Kenya,2011
278,Female,0,1,,20,59,No,Yes,Kenya,2011
297,Female,0,1,,20,59,No,Yes,Kenya,2011
324,Female,0,1,,20,59,No,Yes,Kenya,2011
326,Male,0,1,,20,59,Yes,No,Kenya,2011
359,Female,0,1,,20,59,Yes,No,Kenya,2011
365,Female,0,1,,20,59,No,Yes,Kenya,2011
367,Female,0,1,,20,59,Yes,No,Kenya,2011
397,Female,0,1,,20,59,Yes,No,Kenya,2011
406,Female,0,1,,20,59,Yes,No,Kenya,2011
442,Male,0,1,,20,59,Yes,No,Kenya,2011
445,Female,0,1,,20,59,No,Yes,Kenya,2011
447,Female,0,1,,20,59,Yes,No,Kenya,2011
459,Male,0,1,,20,59,Yes,No,Kenya,2011
466,Male,0,1,,20,59,Yes,No,Kenya,2011
479,Female,0,1,,20,59,No,Yes,Kenya,2011
487,Female,0,1,,20,59,Yes,No,Kenya,2011
489,Male,0,1,,20,59,No,Yes,Kenya,2011
493,Female,0,1,,20,59,Yes,No,Kenya,2011
500,Male,0,1,,20,59,No,Yes,Kenya,2011
508,Female,0,1,,20,59,No,Yes,Kenya,2011
537,Female,0,1,,20,59,No,Yes,Kenya,2011
543,Male,0,1,,20,59,No,Yes,Kenya,2011
561,Female,0,1,,20,59,Yes,No,Kenya,2011
567,Female,0,1,,20,59,No,Yes,Kenya,2011
579,Male,0,1,,20,59,Yes,No,Kenya,2011
581,Male,0,1,,20,59,No,Yes,Kenya,2011
593,Male,0,1,,20,59,No,Yes,Kenya,2011
598,Female,0,1,,20,59,No,Yes,Kenya,2011
601,Male,0,1,,20,59,No,Yes,Kenya,2011
626,Female,0,1,,20,59,Yes,No,Kenya,2011
649,Male,0,1,,20,59,No,Yes,Kenya,2011
655,Male,0,1,,20,59,No,Yes,Kenya,2011
671,Female,0,1,,20,59,Yes,No,Kenya,2011
686,Male,0,1,,20,59,Yes,No,Kenya,2011
691,Male,0,1,,20,59,Yes,No,Kenya,2011
697,Female,0,1,,20,59,Yes,No,Kenya,2011
702,Female,0,1,,20,59,Yes,No,Kenya,2011
706,Female,0,1,,20,59,No,Yes,Kenya,2011
717,Male,0,1,,20,59,Yes,No,Kenya,2011
723,Female,0,1,,20,59,Yes,No,Kenya,2011
727,Female,0,1,,20,59,Yes,No,Kenya,2011
730,Male,0,1,,20,59,Yes,No,Kenya,2011
734,Female,0,1,,20,59,Yes,No,Kenya,2011
740,Female,0,1,,20,59,Yes,No,Kenya,2011
741,Male,0,1,,20,59,Yes,No,Kenya,2011
746,Female,0,1,,20,59,Yes,No,Kenya,2011
753,Female,0,1,,20,59,Yes,No,Kenya,2011
759,Female,0,1,,20,59,Yes,No,Kenya,2011
763,Female,0,1,,20,59,Yes,No,Kenya,2011
768,Female,0,1,,20,59,No,Yes,Kenya,2011
779,Male,0,1,,20,59,Yes,No,Kenya,2011
785,Female,0,1,,20,59,No,Yes,Kenya,2011
808,Female,0,1,,20,59,Yes,No,Kenya,2011
817,Male,0,1,,20,59,Yes,No,Kenya,2011
823,Male,0,1,,20,59,No,Yes,Kenya,2011
857,Male,0,1,,20,59,Yes,No,Kenya,2011
858,Male,0,1,,20,59,Yes,No,Kenya,2011
863,Female,0,1,,20,59,Yes,No,Kenya,2011
876,Female,0,1,,20,59,No,Yes,Kenya,2011
881,Female,0,1,,20,59,Yes,No,Kenya,2011
