part_id,part_sex,part_age_est_min,part_age_est_max,part_age,cnt_age_est_min,cnt_age_est_max,cnt_home,cnt_other,country,year,location
19,Female,0,1,,20,59,Yes,No,Kenya,2011,house
19,Female,0,1,,20,59,Yes,No,Kenya,2011,house
19,Female,0,1,,20,59,Yes,No,Kenya,2011,house
117,Female,0,1,,20,59,No,Yes,Kenya,2011,other
117,Female,0,1,,20,59,Yes,No,Kenya,2011,house
117,Female,0,1,,20,59,Yes,No,Kenya,2011,house
117,Female,0,1,,20,59,No,Yes,Kenya,2011,other
124,Female,0,1,,20,59,Yes,No,Kenya,2011,house
124,Female,0,1,,20,59,Yes,No,Kenya,2011,house
124,Female,0,1,,20,59,Yes,No,Kenya,2011,house
124,Female,0,1,,20,59,Yes,No,Kenya,2011,house
124,Female,0,1,,20,59,Yes,No,Kenya,2011,house
132,Female,0,1,,20,59,No,Yes,Kenya,2011,other
132,Female,0,1,,20,59,No,Yes,Kenya,2011,other
132,Female,0,1,,20,59,No,Yes,Kenya,2011,other
132,Female,0,1,,20,59,Yes,No,Kenya,2011,house
132,Female,0,1,,20,59,Yes,No,Kenya,2011,house
132,Female,0,1,,20,59,Yes,No,Kenya,2011,house
132,Female,0,1,,20,59,No,Yes,Kenya,2011,other
155,Female,0,1,,20,59,Yes,No,Kenya,2011,house
155,Female,0,1,,20,59,Yes,No,Kenya,2011,house
155,Female,0,1,,20,59,No,Yes,Kenya,2011,other
155,Female,0,1,,20,59,No,Yes,Kenya,2011,other
188,Female,0,1,,20,59,No,Yes,Kenya,2011,other
188,Female,0,1,,20,59,No,Yes,Kenya,2011,other
188,Female,0,1,,20,59,Yes,No,Kenya,2011,house
188,Female,0,1,,20,59,No,Yes,Kenya,2011,other
188,Female,0,1,,20,59,No,Yes,Kenya,2011,other
188,Female,0,1,,20,59,Yes,No,Kenya,2011,house
188,Female,0,1,,20,59,Yes,No,Kenya,2011,house
188,Female,0,1,,20,59,Yes,No,Kenya,2011,house
254,Male,0,1,,20,59,Yes,No,Kenya,2011,house
254,Male,0,1,,20,59,No,Yes,Kenya,2011,other
254,Male,0,1,,20,59,Yes,No,Kenya,2011,house
254,Male,0,1,,20,59,No,Yes,Kenya,2011,other
265,Female,0,1,,20,59,Yes,No,Kenya,2011,house
274,Male,0,1,,20,59,Yes,No,Kenya,2011,house
274,Male,0,1,,20,59,Yes,No,Kenya,2011,house
278,Female,0,1,,20,59,No,Yes,Kenya,2011,other
278,Female,0,1,,20,59,No,Yes,Kenya,2011,other
278,Female,0,1,,20,59,No,Yes,Kenya,2011,other
278,Female,0,1,,20,59,No,Yes,Kenya,2011,other
278,Female,0,1,,20,59,No,Yes,Kenya,2011,other
278,Female,0,1,,20,59,Yes,No,Kenya,2011,house
278,Female,0,1,,20,59,No,Yes,Kenya,2011,other
278,Female,0,1,,20,59,No,Yes,Kenya,2011,other
297,Female,0,1,,20,59,No,Yes,Kenya,2011,other
297,Female,0,1,,20,59,No,Yes,Kenya,2011,other
297,Female,0,1,,20,59,No,Yes,Kenya,2011,other
297,Female,0,1,,20,59,Yes,No,Kenya,2011,house
297,Female,0,1,,20,59,Yes,No,Kenya,2011,house
324,Female,0,1,,20,59,No,Yes,Kenya,2011,other
324,Female,0,1,,20,59,No,Yes,Kenya,2011,other
324,Female,0,1,,20,59,Yes,No,Kenya,2011,house
326,Male,0,1,,20,59,Yes,No,Kenya,2011,house
326,Male,0,1,,20,59,No,Yes,Kenya,2011,other
326,Male,0,1,,20,59,Yes,No,Kenya,2011,house
326,Male,0,1,,20,59,No,Yes,Kenya,2011,other
359,Female,0,1,,20,59,Yes,No,Kenya,2011,house
359,Female,0,1,,20,59,No,Yes,Kenya,2011,other
359,Female,0,1,,20,59,No,Yes,Kenya,2011,other
359,Female,0,1,,20,59,Yes,No,Kenya,2011,house
365,Female,0,1,,20,59,No,Yes,Kenya,2011,other
365,Female,0,1,,20,59,No,Yes,Kenya,2011,other
365,Female,0,1,,20,59,Yes,No,Kenya,2011,house
367,Female,0,1,,20,59,Yes,No,Kenya,2011,house
367,Female,0,1,,20,59,Yes,No,Kenya,2011,house
397,Female,0,1,,20,59,Yes,No,Kenya,2011,house
397,Female,0,1,,20,59,No,Yes,Kenya,2011,other
397,Female,0,1,,20,59,No,Yes,Kenya,2011,other
397,Female,0,1,,20,59,No,Yes,Kenya,2011,other
397,Female,0,1,,20,59,No,Yes,Kenya,2011,other
397,Female,0,1,,20,59,No,Yes,Kenya,2011,other
397,Female,0,1,,20,59,Yes,No,Kenya,2011,house
397,Female,0,1,,20,59,No,Yes,Kenya,2011,other
406,Female,0,1,,20,59,Yes,No,Kenya,2011,house
406,Female,0,1,,20,59,Yes,No,Kenya,2011,house
442,Male,0,1,,20,59,Yes,No,Kenya,2011,house
445,Female,0,1,,20,59,No,Yes,Kenya,2011,other
445,Female,0,1,,20,59,Yes,No,Kenya,2011,house
445,Female,0,1,,20,59,Yes,No,Kenya,2011,house
447,Female,0,1,,20,59,Yes,No,Kenya,2011,house
447,Female,0,1,,20,59,Yes,No,Kenya,2011,house
447,Female,0,1,,20,59,Yes,No,Kenya,2011,house
447,Female,0,1,,20,59,Yes,No,Kenya,2011,house
459,Male,0,1,,20,59,Yes,No,Kenya,2011,house
459,Male,0,1,,20,59,Yes,No,Kenya,2011,house
459,Male,0,1,,20,59,No,Yes,Kenya,2011,other
466,Male,0,1,,20,59,Yes,No,Kenya,2011,house
479,Female,0,1,,20,59,No,Yes,Kenya,2011,other
479,Female,0,1,,20,59,No,Yes,Kenya,2011,other
479,Female,0,1,,20,59,Yes,No,Kenya,2011,house
479,Female,0,1,,20,59,No,Yes,Kenya,2011,other
487,Female,0,1,,20,59,Yes,No,Kenya,2011,house
489,Male,0,1,,20,59,No,Yes,Kenya,2011,other
489,Male,0,1,,20,59,Yes,No,Kenya,2011,house
489,Male,0,1,,20,59,No,Yes,Kenya,2011,other
489,Male,0,1,,20,59,No,Yes,Kenya,2011,other
489,Male,0,1,,20,59,No,Yes,Kenya,2011,other
493,Female,0,1,,20,59,Yes,No,Kenya,2011,house
493,Female,0,1,,20,59,Yes,No,Kenya,2011,house
493,Female,0,1,,20,59,Yes,No,Kenya,2011,house
493,Female,0,1,,20,59,No,Yes,Kenya,2011,other
493,Female,0,1,,20,59,Yes,No,Kenya,2011,house
493,Female,0,1,,20,59,No,Yes,Kenya,2011,other
500,Male,0,1,,20,59,No,Yes,Kenya,2011,other
500,Male,0,1,,20,59,Yes,No,Kenya,2011,house
500,Male,0,1,,20,59,No,Yes,Kenya,2011,other
500,Male,0,1,,20,59,No,Yes,Kenya,2011,other
508,Female,0,1,,20,59,No,Yes,Kenya,2011,other
508,Female,0,1,,20,59,No,Yes,Kenya,2011,other
508,Female,0,1,,20,59,Yes,No,Kenya,2011,house
508,Female,0,1,,20,59,No,Yes,Kenya,2011,other
508,Female,0,1,,20,59,Yes,No,Kenya,2011,house
508,Female,0,1,,20,59,No,Yes,Kenya,2011,other
537,Female,0,1,,20,59,No,Yes,Kenya,2011,other
537,Female,0,1,,20,59,Yes,No,Kenya,2011,house
537,Female,0,1,,20,59,No,Yes,Kenya,2011,other
537,Female,0,1,,20,59,No,Yes,Kenya,2011,other
537,Female,0,1,,20,59,No,Yes,Kenya,2011,other
537,Female,0,1,,20,59,Yes,No,Kenya,2011,house
537,Female,0,1,,20,59,No,Yes,Kenya,2011,other
537,Female,0,1,,20,59,No,Yes,Kenya,2011,other
543,Male,0,1,,20,59,No,Yes,Kenya,2011,other
543,Male,0,1,,20,59,Yes,No,Kenya,2011,house
543,Male,0,1,,20,59,Yes,No,Kenya,2011,house
543,Male,0,1,,20,59,No,Yes,Kenya,2011,other
543,Male,0,1,,20,59,No,Yes,Kenya,2011,other
543,Male,0,1,,20,59,No,Yes,Kenya,2011,other
543,Male,0,1,,20,59,No,Yes,Kenya,2011,other
561,Female,0,1,,20,59,Yes,No,Kenya,2011,house
561,Female,0,1,,20,59,No,Yes,Kenya,2011,other
561,Female,0,1,,20,59,Yes,No,Kenya,2011,house
561,Female,0,1,,20,59,No,Yes,Kenya,2011,other
561,Female,0,1,,20,59,Yes,No,Kenya,2011,house
567,Female,0,1,,20,59,No,Yes,Kenya,2011,other
567,Female,0,1,,20,59,Yes,No,Kenya,2011,house
567,Female,0,1,,20,59,Yes,No,Kenya,2011,house
567,Female,0,1,,20,59,No,Yes,Kenya,2011,other
579,Male,0,1,,20,59,Yes,No,Kenya,2011,house
579,Male,0,1,,20,59,No,Yes,Kenya,2011,other
579,Male,0,1,,20,59,Yes,No,Kenya,2011,house
579,Male,0,1,,20,59,No,Yes,Kenya,2011,other
579,Male,0,1,,20,59,No,Yes,Kenya,2011,other
581,Male,0,1,,20,59,No,Yes,Kenya,2011,other
581,Male,0,1,,20,59,Yes,No,Kenya,2011,house
581,Male,0,1,,20,59,Yes,No,Kenya,2011,house
581,Male,0,1,,20,59,No,Yes,Kenya,2011,other
593,Male,0,1,,20,59,No,Yes,Kenya,2011,other
593,Male,0,1,,20,59,No,Yes,Kenya,2011,other
593,Male,0,1,,20,59,No,Yes,Kenya,2011,other
593,Male,0,1,,20,59,No,Yes,Kenya,2011,other
593,Male,0,1,,20,59,No,Yes,Kenya,2011,other
593,Male,0,1,,20,59,No,Yes,Kenya,2011,other
