agecat_contact,part_id,freq,rel,type,total_time,distance,rural,location,cnt_age_est_min,cnt_age_est_max,country,year
10-14y olds,25,Daily or almost daily,Other relative,Physical,>4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,25,Daily or almost daily,Other relative,Physical,>4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,104,Daily or almost daily,Friend,Physical,2h - <4h,0,No,other,10,14,Uganda,2014
10-14y olds,104,Daily or almost daily,Friend,Physical,2h - <4h,0,No,other,10,14,Uganda,2014
10-14y olds,104,Daily or almost daily,Friend,Physical,2h - <4h,0,No,other,10,14,Uganda,2014
10-14y olds,104,Daily or almost daily,Friend,Physical,2h - <4h,0,No,other,10,14,Uganda,2014
10-14y olds,113,Daily or almost daily,Friend,Physical,>4h,0,No,other,10,14,Uganda,2014
10-14y olds,117,Daily or almost daily,Household member,Physical,>4h,0,No,house,10,14,Uganda,2014
10-14y olds,117,Daily or almost daily,Household member,Physical,>4h,0,No,house,10,14,Uganda,2014
10-14y olds,121,Daily or almost daily,Household member,Physical,>4h,0,No,house,10,14,Uganda,2014
10-14y olds,223,Daily or almost daily,Household member,Physical,>4h,0,No,house,10,14,Uganda,2014
10-14y olds,302,Daily or almost daily,Other,Nonphysical,1h - <2h,0,No,other,10,14,Uganda,2014
10-14y olds,304,Daily or almost daily,Friend,Nonphysical,15mins - <1h,0,No,other,10,14,Uganda,2014
10-14y olds,304,Daily or almost daily,Household member,Physical,>4h,0,No,house,10,14,Uganda,2014
10-14y olds,310,Daily or almost daily,Household member,Physical,>4h,0,No,house,10,14,Uganda,2014
10-14y olds,310,Daily or almost daily,Other,Nonphysical,>4h,0,No,other,10,14,Uganda,2014
10-14y olds,313,Daily or almost daily,Friend,Physical,>4h,4.1,No,other,10,14,Uganda,2014
10-14y olds,404,Daily or almost daily,Household member,Physical,>4h,0,No,house,10,14,Uganda,2014
10-14y olds,412,Daily or almost daily,Household member,Physical,>4h,0,No,house,10,14,Uganda,2014
10-14y olds,502,Daily or almost daily,Household member,Nonphysical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,504,Daily or almost daily,Friend,Nonphysical,>4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,504,Daily or almost daily,Friend,Physical,>4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,504,Daily or almost daily,Friend,Nonphysical,>4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,506,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,506,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,510,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,523,At least once a week,Friend,Nonphysical,2h - <4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,523,At least once a week,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,602,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,606,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,606,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,614,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,614,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,614,Daily or almost daily,Other relative,Physical,>4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,614,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,614,Daily or almost daily,Other relative,Physical,>4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,620,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,621,Daily or almost daily,Friend,Nonphysical,2h - <4h,0,Yes,other,10,14,Uganda,2014
10-14y olds,621,At least once a month,Friend,Physical,2h - <4h,1.9,Yes,other,10,14,Uganda,2014
10-14y olds,623,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,623,Daily or almost daily,Friend,Physical,15mins - <1h,0,Yes,other,10,14,Uganda,2014
10-14y olds,628,Daily or almost daily,Friend,Physical,15mins - <1h,0,Yes,other,10,14,Uganda,2014
10-14y olds,628,Daily or almost daily,Friend,Physical,15mins - <1h,0,Yes,other,10,14,Uganda,2014
10-14y olds,628,Daily or almost daily,Household member,Physical,>4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,702,Daily or almost daily,Household member,Physical,2h - <4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,704,Daily or almost daily,Other relative,Physical,1h - <2h,4.2,Yes,other,10,14,Uganda,2014
10-14y olds,704,Daily or almost daily,Other relative,Physical,1h - <2h,4.2,Yes,other,10,14,Uganda,2014
10-14y olds,706,Daily or almost daily,Household member,Nonphysical,2h - <4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,706,Daily or almost daily,Household member,Nonphysical,2h - <4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,710,Daily or almost daily,Household member,Physical,2h - <4h,0,Yes,house,10,14,Uganda,2014
10-14y olds,713,At least once a week,Other relative,Physical,2h - <4h,4.2,Yes,other,10,14,Uganda,2014
10-14y olds,713,At least once a week,Other relative,Physical,2h - <4h,4.2,Yes,other,10,14,Uganda,2014
10-14y olds,713,Daily or almost daily,Other relative,Physical,2h - <4h,0,Yes,other,10,14,Uganda,2014
