part_id,hh_id,part_age,part_gender,country
1,HH1,1,F,Zimbabwe
2,HH2,8,M,Zimbabwe
3,HH3,12,F,Zimbabwe
4,HH4,2,F,Zimbabwe
5,HH5,28,F,Zimbabwe
6,HH6,16,M,Zimbabwe
7,HH7,40,F,Zimbabwe
8,HH8,2,M,Zimbabwe
9,HH9,52,F,Zimbabwe
10,HH10,43,F,Zimbabwe
11,HH11,2,M,Zimbabwe
12,HH12,8,M,Zimbabwe
13,HH13,48,M,Zimbabwe
14,HH14,67,F,Zimbabwe
15,HH15,15,M,Zimbabwe
16,HH16,42,M,Zimbabwe
17,HH17,32,F,Zimbabwe
18,HH17,0,"",Zimbabwe
19,HH18,4,M,Zimbabwe
20,HH19,0,"",Zimbabwe
21,HH20,18,F,Zimbabwe
22,HH21,40,F,Zimbabwe
23,HH22,7,F,Zimbabwe
24,HH23,2,M,Zimbabwe
25,HH24,66,M,Zimbabwe
26,HH24,3,F,Zimbabwe
27,HH25,9,F,Zimbabwe
28,HH26,63,F,Zimbabwe
29,HH27,5,F,Zimbabwe
30,HH28,10,M,Zimbabwe
31,HH29,35,M,Zimbabwe
32,HH30,2,M,Zimbabwe
33,HH31,59,M,Zimbabwe
34,HH31,0,F,Zimbabwe
35,HH32,35,M,Zimbabwe
36,HH33,2,"",Zimbabwe
37,HH34,4,"",Zimbabwe
38,HH35,2,"",Zimbabwe
39,HH36,2,F,Zimbabwe
40,HH37,25,M,Zimbabwe
41,HH38,4,M,Zimbabwe
42,HH39,52,F,Zimbabwe
43,HH40,64,M,Zimbabwe
44,HH41,35,M,Zimbabwe
45,HH42,2,M,Zimbabwe
46,HH43,19,M,Zimbabwe
47,HH44,36,M,Zimbabwe
48,HH45,35,M,Zimbabwe
49,HH46,46,M,Zimbabwe
50,HH47,37,M,Zimbabwe
51,HH48,3,F,Zimbabwe
52,HH49,22,F,Zimbabwe
53,HH50,39,M,Zimbabwe
54,HH51,5,M,Zimbabwe
55,HH52,6,F,Zimbabwe
56,HH53,32,M,Zimbabwe
57,HH54,32,F,Zimbabwe
58,HH55,35,M,Zimbabwe
59,HH55,11,F,Zimbabwe
60,HH56,8,M,Zimbabwe
61,HH57,0,M,Zimbabwe
62,HH57,19,"",Zimbabwe
63,HH58,34,M,Zimbabwe
64,HH59,15,F,Zimbabwe
65,HH60,49,M,Zimbabwe
66,HH61,30,M,Zimbabwe
67,HH62,21,M,Zimbabwe
68,HH62,4,M,Zimbabwe
69,HH63,34,M,Zimbabwe
70,HH64,31,M,Zimbabwe
71,HH65,54,F,Zimbabwe
72,HH66,20,"",Zimbabwe
73,HH67,18,M,Zimbabwe
74,HH68,30,F,Zimbabwe
75,HH69,12,F,Zimbabwe
76,HH70,56,"",Zimbabwe
77,HH71,26,M,Zimbabwe
78,HH72,11,F,Zimbabwe
79,HH72,0,F,Zimbabwe
80,HH73,0,M,Zimbabwe
81,HH74,19,F,Zimbabwe
82,HH75,56,F,Zimbabwe
83,HH76,0,M,Zimbabwe
84,HH77,43,M,Zimbabwe
85,HH78,17,M,Zimbabwe
86,HH79,0,F,Zimbabwe
87,HH80,14,M,Zimbabwe
88,HH81,4,F,Zimbabwe
89,HH82,37,M,Zimbabwe
90,HH83,24,M,Zimbabwe
91,HH84,15,M,Zimbabwe
92,HH85,0,M,Zimbabwe
93,HH86,22,F,Zimbabwe
94,HH87,10,M,Zimbabwe
95,HH88,12,F,Zimbabwe
96,HH89,12,M,Zimbabwe
97,HH90,18,F,Zimbabwe
98,HH91,3,M,Zimbabwe
99,HH92,9,F,Zimbabwe
100,HH93,28,M,Zimbabwe
101,HH94,35,M,Zimbabwe
102,HH95,20,M,Zimbabwe
103,HH96,23,M,Zimbabwe
104,HH96,6,F,Zimbabwe
105,HH97,10,M,Zimbabwe
106,HH98,49,M,Zimbabwe
107,HH99,1,M,Zimbabwe
108,HH100,33,F,Zimbabwe
109,HH101,13,M,Zimbabwe
110,HH102,9,M,Zimbabwe
111,HH103,2,"",Zimbabwe
112,HH104,36,M,Zimbabwe
113,HH105,5,F,Zimbabwe
114,HH106,18,M,Zimbabwe
115,HH107,2,F,Zimbabwe
116,HH108,2,F,Zimbabwe
117,HH109,1,F,Zimbabwe
